id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	12	0	0	65	65	0	65	0	0
3	11	258	258	324	62	4	66	0	0
5	12	479	483	590	70	14	111	27	4
4	16	350	354	608	91	103	258	64	4
2	45	159	159	642	235	46	483	202	0
7	9	1224	1228	1297	49	18	73	6	4
8	5	1330	1332	1362	30	0	32	2	2
12	34	1781	1781	2174	183	41	393	169	0
13	15	2326	2328	2433	86	15	107	6	2
17	18	2862	2865	3069	94	23	207	90	3
15	19	2790	2794	3073	99	0	283	184	4
16	26	2792	2799	3197	138	36	405	231	7
18	31	3098	3098	3313	168	42	215	5	0
9	54	1387	1389	3443	288	72	2056	1696	2
24	16	3791	3796	4049	92	52	258	114	5
23	18	3750	3750	4201	95	13	451	343	0
27	12	4517	4517	4705	64	14	188	110	0
28	23	4567	4567	4815	121	9	248	118	0
30	4	5029	5032	5108	24	48	79	7	3
26	36	4510	4512	5270	191	60	760	509	2
22	42	3634	3635	5446	220	14	1812	1578	1
20	43	3548	3550	5482	248	164	1934	1522	2
31	26	5558	5562	5715	138	9	157	10	4
21	51	3621	3625	5800	269	82	2179	1828	4
33	12	5860	5860	5947	67	15	87	5	0
25	53	4083	4084	6105	284	65	2022	1673	1
32	44	5815	5815	6139	228	22	324	74	0
29	55	5011	5012	6150	283	19	1139	837	1
19	62	3528	3528	6264	327	77	2736	2332	0
14	63	2550	2553	6273	326	20	3723	3377	3
6	67	1123	1123	6343	353	121	5220	4746	0
10	71	1626	1628	6378	386	110	4752	4256	2
11	76	1677	1678	6422	420	98	4745	4227	1
34	8	6431	6431	6485	47	7	54	0	0
35	5	6524	6524	6592	31	24	68	13	0
37	1	6578	6582	6607	12	11	29	6	4
36	32	6537	6537	6755	174	19	218	25	0
38	27	7006	7006	7301	146	58	295	91	0
39	34	7124	7127	7378	179	11	254	64	3
40	17	7328	7331	7504	95	78	176	3	3
42	20	7601	7605	7740	105	23	139	11	4
47	10	8059	8059	8298	56	21	239	162	0
46	17	8034	8036	8521	98	99	487	290	2
50	17	8147	8149	8579	94	170	432	168	2
43	22	7787	7790	8660	120	98	873	655	3
49	32	8094	8099	8849	169	52	755	534	5
44	33	7837	7839	8867	170	3	1030	857	2
48	36	8091	8094	8896	187	1	805	617	3
45	56	7944	7945	9122	287	70	1178	821	1
41	91	7530	7530	9495	471	213	1965	1281	0
0	0	0	0	9495	1260	0	9495	8235	0
