id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	334	270	64	334	0	0
3	0	479	498	505	7	0	26	19	19
2	0	257	334	584	237	9	327	81	77
4	0	547	584	839	46	52	292	194	37
6	0	587	603	883	193	30	296	73	16
5	0	548	607	1079	150	71	531	310	59
8	0	1030	1079	1137	58	0	107	49	49
7	0	687	730	1207	176	52	520	292	43
9	0	1152	1207	1362	110	45	210	55	55
11	0	1539	1545	1552	7	0	13	6	6
10	0	1441	1441	1887	259	158	446	29	0
12	0	1676	1705	2145	229	53	469	187	29
20	0	2329	2331	2447	69	27	118	22	2
22	0	2496	2503	2599	63	12	103	28	7
26	0	2674	2690	2772	62	6	98	30	16
27	0	2721	2734	2788	36	17	67	14	13
24	0	2636	2658	2827	65	8	191	118	22
16	0	2056	2068	2994	205	51	938	682	12
29	0	2896	2994	3123	52	34	227	141	98
31	0	3165	3190	3409	90	49	244	105	25
28	0	2889	2952	3590	133	252	701	316	63
25	0	2663	2684	3618	111	20	955	824	21
32	0	3622	3666	3772	24	6	150	120	44
34	0	3801	3855	3906	51	0	105	54	54
33	0	3635	3772	3931	108	34	296	154	137
36	0	3963	4015	4017	2	0	54	52	52
13	0	1857	1887	4149	205	75	2292	2012	30
35	0	3942	4017	4229	95	41	287	151	75
19	0	2241	2262	4329	307	120	2088	1661	21
21	0	2363	3931	4359	139	98	1996	1759	1568
30	0	3095	3134	4566	161	2	1471	1308	39
15	0	2033	4359	4743	161	33	2710	2516	2326
39	0	4803	4808	4821	13	0	18	5	5
37	0	4554	4566	4934	175	92	380	113	12
23	0	2579	3048	5115	243	37	2536	2256	469
38	0	4711	4743	5405	221	121	694	352	32
42	0	5186	5210	5539	186	44	353	123	24
45	0	5644	5651	5664	13	0	20	7	7
43	0	5370	5405	5680	70	11	310	229	35
46	0	5651	5680	5698	18	0	47	29	29
47	0	5738	5742	5751	9	0	13	4	4
18	0	2207	2827	5990	180	8	3783	3595	620
17	0	2195	2198	6060	384	168	3865	3313	3
50	0	6224	6260	6332	12	22	108	74	36
49	0	6101	6182	6848	218	122	747	407	81
41	0	5037	5124	7674	520	70	2637	2047	87
14	0	1880	1894	7973	371	88	6093	5634	14
48	0	6100	6220	8392	301	112	2292	1879	120
44	0	5583	6521	8781	622	106	3198	2470	938
40	0	4852	4866	8799	1043	265	3947	2639	14
0	0	0	0	8799	319	0	8799	8480	0
