id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	109	113	394	69	23	285	193	4
1	0	0	0	467	188	20	467	259	0
5	0	320	338	536	39	0	216	177	18
6	0	329	353	628	58	5	299	236	24
8	0	448	472	758	65	0	310	245	24
7	0	403	424	779	70	58	376	248	21
2	0	64	65	819	175	74	755	506	1
11	0	950	962	1057	25	0	107	82	12
9	0	672	688	1094	124	10	422	288	16
10	0	857	864	1415	176	19	558	363	7
12	0	995	1012	1446	149	9	451	293	17
4	0	236	248	1632	380	142	1396	874	12
14	0	1651	1652	1956	111	6	305	188	1
15	0	1694	1702	2327	157	28	633	448	8
13	0	1490	1493	2337	269	33	847	545	3
17	0	1950	1961	2340	64	54	390	272	11
16	0	1744	1748	2408	135	87	664	442	4
19	0	2167	2191	2576	160	23	409	226	24
18	0	2104	2121	2760	249	127	656	280	17
20	0	2741	2741	2860	99	11	119	9	0
25	0	3275	3292	3537	54	0	262	208	17
23	0	3248	3257	3586	74	0	338	264	9
21	0	2960	2960	3653	319	34	693	340	0
24	0	3257	3267	3772	116	55	515	344	10
26	0	3524	3538	3930	139	46	406	221	14
22	0	3155	3157	4041	254	84	886	548	2
28	0	3886	3896	4245	94	10	359	255	10
30	0	4057	4071	4528	145	1	471	325	14
31	0	4649	4651	4682	11	0	33	22	2
29	0	3995	4006	4754	238	25	759	496	11
32	0	4661	4671	4962	61	0	301	240	10
34	0	4727	4744	5258	82	18	531	431	17
36	0	4778	4799	5529	105	76	751	570	21
38	0	5116	5143	5804	87	43	688	558	27
27	0	3856	3861	6157	495	82	2301	1724	5
37	0	4884	4904	6449	218	58	1565	1289	20
33	0	4687	4694	6513	286	15	1826	1525	7
40	0	5474	5503	6687	188	0	1213	1025	29
43	0	6565	6588	6689	18	1	124	105	23
42	0	5948	5973	6697	113	35	749	601	25
45	0	6813	6826	6853	7	0	40	33	13
44	0	6719	6732	6943	52	17	224	155	13
41	0	5659	5690	7042	187	325	1383	871	31
39	0	5237	5258	7094	340	46	1857	1471	21
46	0	6909	6922	7126	40	67	217	110	13
49	0	7345	7357	7471	25	18	126	83	12
47	0	7029	7032	7503	148	15	474	311	3
50	0	7685	7691	7892	81	5	207	121	6
48	0	7163	7170	8022	302	129	859	428	7
35	0	4744	4764	8064	774	250	3320	2296	20
0	0	0	0	8064	249	0	8064	7815	0
