id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	133	113	20	133	0	0
3	0	109	133	199	43	23	90	24	24
5	0	320	332	356	24	0	36	12	12
2	0	64	80	393	106	74	329	149	16
8	0	448	455	494	39	0	46	7	7
6	0	329	356	497	35	5	168	128	27
7	0	403	449	559	42	58	156	56	46
9	0	672	672	769	76	10	97	11	0
4	0	236	276	793	230	142	557	185	40
11	0	950	950	965	15	0	15	0	0
10	0	857	857	991	106	19	134	9	0
12	0	995	995	1094	90	9	99	0	0
13	0	1490	1490	1685	162	33	195	0	0
14	0	1651	1685	1758	67	6	107	34	34
15	0	1694	1721	1861	95	28	167	44	27
16	0	1744	1758	1947	82	87	203	34	14
17	0	1950	1950	2043	39	54	93	0	0
19	0	2167	2167	2325	97	23	158	38	0
18	0	2104	2104	2422	152	127	318	39	0
20	0	2741	2741	2811	59	11	70	0	0
21	0	2960	2960	3233	192	34	273	47	0
23	0	3248	3261	3306	45	0	58	13	13
25	0	3275	3358	3390	32	0	115	83	83
24	0	3257	3306	3475	70	55	218	93	49
22	0	3155	3155	3493	153	84	338	101	0
26	0	3524	3524	3654	84	46	130	0	0
28	0	3886	3978	4166	57	10	280	213	92
30	0	4057	4081	4321	87	1	264	176	24
27	0	3856	3856	4430	298	82	574	194	0
29	0	3995	4061	4449	143	25	454	286	66
31	0	4649	4649	4656	7	0	7	0	0
32	0	4661	4661	4698	37	0	37	0	0
34	0	4727	4786	4940	50	18	213	145	59
33	0	4687	4698	5139	172	15	452	265	11
36	0	4778	4817	5229	65	76	451	310	39
37	0	4884	4886	5448	132	58	564	374	2
40	0	5474	5516	5629	113	0	155	42	42
38	0	5116	5139	5649	53	43	533	437	23
39	0	5237	5252	5675	204	46	438	188	15
42	0	5948	5973	6126	68	35	178	75	25
35	0	4744	4829	6178	468	250	1434	716	85
41	0	5659	5675	6278	115	325	619	179	16
43	0	6565	6565	6577	11	1	12	0	0
44	0	6719	6719	6768	32	17	49	0	0
45	0	6813	6813	6817	4	0	4	0	0
46	0	6909	6909	7000	24	67	91	0	0
47	0	7029	7029	7134	90	15	105	0	0
49	0	7345	7358	7424	16	18	79	45	13
48	0	7163	7163	7475	183	129	312	0	0
50	0	7685	7685	7739	49	5	54	0	0
0	0	0	0	7739	3013	0	7739	4726	0
