id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	110	113	136	8	5	26	13	3
1	0	0	0	228	160	63	228	5	0
3	0	261	261	280	19	0	19	0	0
4	0	388	388	1329	503	174	941	264	0
5	0	883	883	1680	303	77	797	417	0
7	0	1123	1167	2935	409	164	1812	1239	44
6	0	1039	1074	2988	343	187	1949	1419	35
10	0	1948	2035	3217	101	69	1269	1099	87
12	0	2165	2365	3623	129	19	1458	1310	200
19	0	2851	3093	3658	52	17	807	738	242
17	0	2712	2873	3794	42	25	1082	1015	161
23	0	3136	3339	4798	177	47	1662	1438	203
22	0	3021	3297	4928	56	83	1907	1768	276
26	0	3276	3503	5149	64	47	1873	1762	227
21	0	2972	3274	5183	121	70	2211	2020	302
28	0	3846	4159	5278	157	31	1432	1244	313
30	0	4263	4502	5350	56	48	1087	983	239
13	0	2198	2374	5356	200	84	3158	2874	176
25	0	3222	3436	5653	92	78	2431	2261	214
18	0	2726	2912	5756	176	103	3030	2751	186
31	0	4429	4678	6068	61	51	1639	1527	249
35	0	5494	5704	6118	51	38	624	535	210
11	0	2048	2110	6252	359	267	4204	3578	62
42	0	5913	6317	6324	7	0	411	404	404
9	0	1937	1970	6370	357	145	4433	3931	33
14	0	2338	2405	6613	170	111	4275	3994	67
37	0	5756	6118	6674	60	1	918	857	362
40	0	5813	6259	6868	27	21	1055	1007	446
24	0	3147	3347	7026	184	84	3879	3611	200
27	0	3615	4080	7240	106	87	3625	3432	465
50	0	6481	7094	7577	3	2	1096	1091	613
45	0	6157	6674	7714	23	39	1557	1495	517
8	0	1731	1731	7850	418	283	6119	5418	0
49	0	6464	7054	7851	44	5	1387	1338	590
15	0	2664	2821	8311	389	220	5647	5038	157
33	0	4966	5278	9058	208	125	4092	3759	312
34	0	5483	5661	9381	238	101	3898	3559	178
44	0	6130	6613	9432	168	74	3302	3060	483
39	0	5774	6196	9446	175	172	3672	3325	422
36	0	5694	6020	9497	230	92	3803	3481	326
46	0	6266	6760	9617	146	107	3351	3098	494
48	0	6326	6900	9966	348	106	3640	3186	574
0	0	0	0	10016	8633	0	10016	1383	0
