id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	61	22	39	61	0	0
2	2	698	698	726	28	0	28	0	0
3	1	868	868	883	15	0	15	0	0
4	4	899	899	967	44	24	68	0	0
5	0	1072	1072	1082	10	0	10	0	0
7	1	1242	1242	1324	19	63	82	0	0
8	0	1407	1407	1409	2	0	2	0	0
9	1	1434	1434	1515	37	43	81	1	0
6	3	1155	1155	1545	62	300	390	28	0
11	0	1791	1791	1796	5	0	5	0	0
10	3	1650	1650	2104	110	288	454	56	0
13	0	1976	1978	2179	23	149	203	31	2
17	1	2142	2146	2209	20	1	67	46	4
14	2	2003	2009	2233	37	137	230	56	6
16	4	2128	2134	2286	57	31	158	70	6
15	5	2120	2120	2294	65	13	174	96	0
12	7	1900	1905	2309	117	77	409	215	5
18	0	2372	2372	2378	6	0	6	0	0
19	4	3063	3063	3179	60	56	116	0	0
20	0	3208	3208	3254	12	34	46	0	0
21	1	3278	3278	3345	22	45	67	0	0
23	0	3618	3623	3663	9	31	45	5	5
22	2	3577	3577	3705	32	89	128	7	0
24	0	4307	4307	4350	18	25	43	0	0
25	3	4602	4602	4714	55	57	112	0	0
26	1	4906	4906	4969	25	38	63	0	0
27	0	5088	5088	5093	5	0	5	0	0
28	3	5111	5111	5272	63	98	161	0	0
29	2	5233	5233	5315	36	46	82	0	0
30	4	5242	5242	5501	67	191	259	1	0
31	0	6405	6405	6429	14	10	24	0	0
32	1	6546	6546	6646	34	63	100	3	0
33	2	6580	6580	6702	49	61	122	12	0
35	0	6942	6942	7016	13	52	74	9	0
36	5	7055	7055	7291	78	87	236	71	0
38	4	7230	7232	7317	50	16	87	21	2
37	4	7119	7119	7319	76	67	200	57	0
39	4	7272	7278	7490	67	90	218	61	6
34	12	6808	6808	7498	167	288	690	235	0
42	1	7431	7440	7506	21	31	75	23	9
44	0	7512	7516	7518	2	0	6	4	4
41	2	7421	7421	7536	39	44	115	32	0
40	8	7359	7362	7652	125	112	293	56	3
43	0	7433	7450	7665	33	166	232	33	17
45	1	7648	7652	7687	13	16	39	10	4
46	3	7649	7653	7732	43	22	83	18	4
47	3	7790	7790	7914	47	77	124	0	0
48	0	7899	7899	7930	11	20	31	0	0
49	0	8010	8010	8062	21	31	52	0	0
50	7	8179	8179	8413	109	125	234	0	0
0	0	0	0	8413	6318	0	8413	2095	0
