id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	37	10	27	37	0	0
2	1	161	161	167	6	0	6	0	0
5	6	354	354	434	36	32	80	12	0
6	1	438	439	446	7	0	8	1	1
7	0	528	529	531	2	0	3	1	1
8	0	530	531	553	4	13	23	6	1
9	5	641	643	718	34	37	77	6	2
4	12	345	345	720	96	228	375	51	0
3	36	178	178	792	221	292	614	101	0
10	1	1039	1039	1046	7	0	7	0	0
11	12	1062	1062	1265	79	124	203	0	0
13	2	1864	1864	1876	12	0	12	0	0
14	6	1985	1985	2087	47	49	102	6	0
15	7	1988	1988	2098	46	54	110	10	0
12	20	1378	1378	2146	140	578	768	50	0
16	0	2449	2449	2461	7	5	12	0	0
18	4	2539	2539	2598	25	34	59	0	0
17	2	2487	2487	2612	20	105	125	0	0
19	0	2628	2628	2644	6	10	16	0	0
20	5	2663	2663	2748	43	42	85	0	0
21	1	2761	2761	2783	12	10	22	0	0
22	0	2864	2864	2865	1	0	1	0	0
23	0	2913	2913	2918	5	0	5	0	0
24	0	3009	3009	3011	2	0	2	0	0
25	6	3108	3108	3160	39	13	52	0	0
26	3	3351	3351	3375	18	6	24	0	0
27	4	3447	3447	3470	23	0	23	0	0
28	5	3558	3558	3640	40	42	82	0	0
29	1	3644	3644	3671	11	16	27	0	0
30	13	3742	3742	3959	91	126	217	0	0
31	5	3928	3928	4011	29	54	83	0	0
33	3	4367	4368	4472	28	60	105	17	1
32	11	4271	4271	4565	92	161	294	41	0
36	10	4676	4676	4797	61	24	121	36	0
37	4	4732	4736	4819	28	47	87	12	4
34	13	4394	4397	4821	98	288	427	41	3
35	14	4602	4603	4924	95	203	322	24	1
38	2	4866	4866	5049	22	147	183	14	0
40	3	5041	5041	5147	27	77	106	2	0
39	15	4949	4949	5162	98	93	213	22	0
42	3	5428	5428	5454	21	4	26	1	0
41	7	5413	5413	5533	41	52	120	27	0
44	3	5541	5541	5628	25	60	87	2	0
45	1	5631	5631	5643	10	2	12	0	0
43	13	5454	5455	5708	83	148	254	23	1
46	3	5682	5683	5827	24	115	145	6	1
47	1	5752	5753	5850	18	79	98	1	1
48	3	5865	5865	5884	19	0	19	0	0
49	4	5947	5947	6027	33	32	80	15	0
50	6	5974	5978	6068	42	40	94	12	4
0	0	0	0	6068	4084	0	6068	1984	0
