id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	61	22	39	61	0	0
2	0	698	698	726	28	0	28	0	0
3	0	868	868	883	15	0	15	0	0
4	0	899	899	967	44	24	68	0	0
5	0	1072	1072	1082	10	0	10	0	0
7	0	1242	1242	1325	19	63	83	1	0
8	0	1407	1407	1409	2	0	2	0	0
9	0	1434	1434	1518	37	43	84	4	0
6	0	1155	1155	1526	62	300	371	9	0
11	0	1791	1791	1796	5	0	5	0	0
10	0	1650	1650	2091	110	288	441	43	0
12	0	1900	1900	2205	117	77	305	111	0
13	0	1976	1979	2211	23	149	235	63	3
17	0	2142	2148	2236	20	1	94	73	6
14	0	2003	2008	2251	37	137	248	74	5
15	0	2120	2120	2306	65	13	186	108	0
16	0	2128	2131	2311	57	31	183	95	3
18	0	2372	2372	2378	6	0	6	0	0
19	0	3063	3063	3179	60	56	116	0	0
20	0	3208	3208	3254	12	34	46	0	0
21	0	3278	3278	3345	22	45	67	0	0
23	0	3618	3618	3663	9	31	45	5	0
22	0	3577	3577	3705	32	89	128	7	0
24	0	4307	4307	4350	18	25	43	0	0
25	0	4602	4602	4714	55	57	112	0	0
26	0	4906	4906	4969	25	38	63	0	0
27	0	5088	5088	5093	5	0	5	0	0
28	0	5111	5111	5272	63	98	161	0	0
29	0	5233	5233	5315	36	46	82	0	0
30	0	5242	5242	5501	67	191	259	1	0
31	0	6405	6405	6429	14	10	24	0	0
32	0	6546	6546	6659	34	63	113	16	0
33	0	6580	6580	6699	49	61	119	9	0
35	0	6942	6942	7012	13	52	70	5	0
36	0	7055	7055	7281	78	87	226	61	0
37	0	7119	7119	7332	76	67	213	70	0
34	0	6808	6808	7340	167	288	532	77	0
38	0	7230	7238	7383	50	16	153	87	8
42	0	7431	7438	7511	21	31	80	28	7
39	0	7272	7286	7514	67	90	242	85	14
44	0	7512	7519	7521	2	0	9	7	7
41	0	7421	7426	7546	39	44	125	42	5
40	0	7359	7364	7662	125	112	303	66	5
43	0	7433	7444	7669	33	166	236	37	11
45	0	7648	7655	7696	13	16	48	19	7
46	0	7649	7656	7736	43	22	87	22	7
47	0	7790	7790	7914	47	77	124	0	0
48	0	7899	7899	7930	11	20	31	0	0
49	0	8010	8010	8062	21	31	52	0	0
50	0	8179	8179	8413	109	125	234	0	0
0	0	0	0	8413	6318	0	8413	2095	0
